2023-04-12 07:52:46 status half-installed gpg-wks-server:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gpgsm:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gpgsm:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gpgsm:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gnupg:all <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gnupg:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gnupg:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 startup packages configure
2023-04-12 07:52:46 configure libksba8:amd64 1.3.5-2+deb10u2 <none>
2023-04-12 07:52:46 status unpacked libksba8:amd64 1.3.5-2+deb10u2
2023-04-12 07:52:46 status half-configured libksba8:amd64 1.3.5-2+deb10u2
2023-04-12 07:52:46 status installed libksba8:amd64 1.3.5-2+deb10u2
2023-04-12 07:52:46 configure lsb-base:all 10.2019051400 <none>
2023-04-12 07:52:46 status unpacked lsb-base:all 10.2019051400
2023-04-12 07:52:46 status half-configured lsb-base:all 10.2019051400
2023-04-12 07:52:46 status installed lsb-base:all 10.2019051400
2023-04-12 07:52:46 configure libsqlite3-0:amd64 3.27.2-3+deb10u2 <none>
2023-04-12 07:52:46 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u2
2023-04-12 07:52:46 status half-configured libsqlite3-0:amd64 3.27.2-3+deb10u2
2023-04-12 07:52:46 status installed libsqlite3-0:amd64 3.27.2-3+deb10u2
2023-04-12 07:52:46 configure libnpth0:amd64 1.6-1 <none>
2023-04-12 07:52:46 status unpacked libnpth0:amd64 1.6-1
2023-04-12 07:52:46 status half-configured libnpth0:amd64 1.6-1
2023-04-12 07:52:46 status installed libnpth0:amd64 1.6-1
2023-04-12 07:52:46 configure libassuan0:amd64 2.5.2-1 <none>
2023-04-12 07:52:46 status unpacked libassuan0:amd64 2.5.2-1
2023-04-12 07:52:46 status half-configured libassuan0:amd64 2.5.2-1
2023-04-12 07:52:46 status installed libassuan0:amd64 2.5.2-1
2023-04-12 07:52:46 configure gnupg-l10n:all 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gnupg-l10n:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gnupg-l10n:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gnupg-l10n:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure readline-common:all 7.0-5 <none>
2023-04-12 07:52:46 status unpacked readline-common:all 7.0-5
2023-04-12 07:52:46 status half-configured readline-common:all 7.0-5
2023-04-12 07:52:46 status installed readline-common:all 7.0-5
2023-04-12 07:52:46 configure libreadline7:amd64 7.0-5 <none>
2023-04-12 07:52:46 status unpacked libreadline7:amd64 7.0-5
2023-04-12 07:52:46 status half-configured libreadline7:amd64 7.0-5
2023-04-12 07:52:46 status installed libreadline7:amd64 7.0-5
2023-04-12 07:52:46 configure gnupg-utils:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gnupg-utils:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure pinentry-curses:amd64 1.1.0-2 <none>
2023-04-12 07:52:46 status unpacked pinentry-curses:amd64 1.1.0-2
2023-04-12 07:52:46 status half-configured pinentry-curses:amd64 1.1.0-2
2023-04-12 07:52:46 status installed pinentry-curses:amd64 1.1.0-2
2023-04-12 07:52:46 configure gpgconf:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gpgconf:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpgconf:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpgconf:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gpg:amd64 2.2.12-1+deb10u2 <none>
2023-04-12 07:52:46 status unpacked gpg:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-configured gpg:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status installed gpg:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 configure gpg-agent:amd64 2.2.12-1+deb10u2 <none>
